Timestamp,CPU_Usage(%),Memory_Usage(MB),Bytes_Received(Bytes),Bytes_Sent(Bytes),,,,,,
2025-01-13 07:46:18,0,11.87,,,,,,,,
2025-01-13 07:46:19,0,11.87,,,,,,,,
2025-01-13 07:46:20,0,11.87,,,,,,,,
2025-01-13 07:46:21,0,11.87,,,,,,,,
2025-01-13 07:46:22,0,11.87,,,,,,,,
2025-01-13 07:46:23,0,11.87,,,,,,,,
2025-01-13 07:46:24,0,11.87,,,,,,,,
2025-01-13 07:46:25,0,11.87,,,,,,,,
2025-01-13 07:46:26,0,11.87,,,,,,,,
2025-01-13 07:46:27,0,11.87,,,,,,,,
2025-01-13 07:46:28,0,11.87,,,,,,,,
2025-01-13 07:46:29,0,11.87,,,,,,,,
2025-01-13 07:46:30,0,11.87,,,,,,,,
2025-01-13 07:46:31,0,11.87,,,,,,,,
2025-01-13 07:46:32,0,11.87,,,,,,,,
2025-01-13 07:46:33,0,11.87,,,,,,,,
2025-01-13 07:46:34,0,11.87,,,,,,,,
2025-01-13 07:46:35,0,11.87,,,,,,,,
2025-01-13 07:46:36,0,11.87,,,,,,,,
2025-01-13 07:46:37,0,11.87,,,,,,,,
2025-01-13 07:46:38,0,11.87,,,,,,,,
2025-01-13 07:46:39,0,11.87,,,,,,,,
2025-01-13 07:46:40,0,11.87,,,,,,,,
2025-01-13 07:46:41,0,11.87,,,,,,,,
2025-01-13 07:46:42,0,11.87,,,,,,,,
2025-01-13 07:46:43,0,11.87,,,,,,,,
2025-01-13 07:46:44,0,11.87,,,,,,,,
2025-01-13 07:46:45,0,11.87,,,,,,,,
2025-01-13 07:46:46,0,11.87,,,,,,,,
2025-01-13 07:46:47,0,11.87,,,,,,,,
2025-01-13 07:46:48,0,11.87,,,,,,,,
2025-01-13 07:46:49,0,11.87,,,,,,,,
2025-01-13 07:46:50,0,11.87,,,,,,,,
2025-01-13 07:46:51,0,11.87,,,,,,,,
2025-01-13 07:46:52,0,11.87,,,,,,,,
2025-01-13 07:46:53,0,11.87,,,,,,,,
2025-01-13 07:46:54,0,11.87,,,,,,,,
2025-01-13 07:46:55,0,11.87,,,,,,,,
2025-01-13 07:46:56,0,11.91,,,,,,,,
2025-01-13 07:46:57,0,11.91,,,,,,,,
2025-01-13 07:46:58,0,11.91,,,,,,,,
2025-01-13 07:47:00,0,11.91,,,,,,,,
2025-01-13 07:47:01,0,11.91,,,,,,,,
2025-01-13 07:47:02,0,11.93,,,,,,,,
2025-01-13 07:47:03,0,11.93,,,,,,,,
2025-01-13 07:47:04,0,11.93,,,,,,,,
2025-01-13 07:47:05,0,11.93,,,,,,,,
2025-01-13 07:47:06,0,11.93,,,,,,,,
2025-01-13 07:47:07,0,11.93,,,,,,,,
2025-01-13 07:47:08,0,11.93,,,,,,,,
2025-01-13 07:47:09,0,11.93,,,,,,,,
2025-01-13 07:47:10,0,11.93,,,,,,,,
2025-01-13 07:47:11,0,11.93,,,,,,,,
2025-01-13 07:47:12,0,11.93,,,,,,,,
2025-01-13 07:47:13,0,11.93,,,,,,,,
2025-01-13 07:47:14,0,11.93,,,,,,,,
2025-01-13 07:47:15,0,11.93,,,,,,,,
2025-01-13 07:47:16,0,11.93,,,,,,,,
2025-01-13 07:47:17,0,11.93,,,,,,,,
2025-01-13 07:47:18,0,11.93,,,,,,,,
2025-01-13 07:47:19,0,11.93,,,,,,,,
2025-01-13 07:47:20,0,11.93,,,,,,,,
2025-01-13 07:47:21,0,11.93,,,,,,,,
2025-01-13 07:47:22,0,11.93,,,,,,,,
2025-01-13 07:47:23,0,11.93,,,,,,,,
2025-01-13 07:47:24,0,11.93,,,,,,,,
2025-01-13 07:47:25,0,11.93,,,,,,,,
2025-01-13 07:47:26,0,11.93,,,,,,,,
2025-01-13 07:47:27,0,11.93,,,,,,,,
2025-01-13 07:47:28,0,11.93,,,,,,,,
2025-01-13 07:47:29,0,11.93,,,,,,,,
2025-01-13 07:47:30,0,11.93,,,,,,,,
2025-01-13 07:47:31,0,11.93,,,,,,,,
2025-01-13 07:47:32,0,11.93,,,,,,,,
2025-01-13 07:47:33,0,11.93,,,,,,,,
2025-01-13 07:47:34,0,11.93,,,,,,,,
2025-01-13 07:47:35,0,11.93,,,,,,,,
2025-01-13 07:47:36,0,11.93,,,,,,,,
2025-01-13 07:47:37,0,11.93,,,,,,,,
2025-01-13 07:47:38,0,11.93,,,,,,,,
2025-01-13 07:47:39,0,11.93,,,,,,,,
2025-01-13 07:47:40,0,11.93,,,,,,,,
2025-01-13 07:47:41,0,11.93,,,,,,,,
2025-01-13 07:47:43,0,11.93,,,,,,,,
2025-01-13 07:47:44,0,11.93,,,,,,,,
2025-01-13 07:47:45,0,11.93,,,,,,,,
2025-01-13 07:47:46,0,11.93,,,,,,,,
2025-01-13 07:47:47,0,11.93,,,,,,,,
2025-01-13 07:47:48,0,11.93,,,,,,,,
2025-01-13 07:47:49,0,11.93,,,,,,,,
2025-01-13 07:47:50,0,11.93,,,,,,,,
2025-01-13 07:47:51,0,11.93,,,,,,,,
2025-01-13 07:47:52,0,11.93,,,,,,,,
2025-01-13 07:47:53,0,11.93,,,,,,,,
2025-01-13 07:47:54,0,11.93,,,,,,,,
2025-01-13 07:47:55,0,11.93,,,,,,,,
2025-01-13 07:47:56,0,11.93,,,,,,,,
2025-01-13 07:47:57,0,11.93,,,,,,,,
2025-01-13 07:47:58,0,11.93,,,,,,,,
2025-01-13 07:47:59,0,11.93,,,,,,,,
2025-01-13 07:48:00,0,11.93,,,,,,,,
2025-01-13 07:48:01,0,11.93,,,,,,,,
2025-01-13 07:48:02,0,11.93,,,,,,,,
2025-01-13 07:48:03,0,11.93,,,,,,,,
