Timestamp,CPU_Usage(%),Memory_Usage(MB),Bytes_Received(Bytes),Bytes_Sent(Bytes),,,,,,,
2025-01-13 04:46:12,0,11.83,,,,,0.1,,,,11.83
2025-01-13 04:46:13,0,11.83,,,,,0.1,,,,11.83
2025-01-13 04:46:14,0,11.83,,,,,0.1,,,,11.83
2025-01-13 04:46:15,0,11.83,,,,,0.1,,,,11.83
2025-01-13 04:46:16,0,11.83,,,,,15.7,,,,470.1
2025-01-13 04:46:17,0,11.83,,,,,,,,,
2025-01-13 04:46:18,0,11.83,,,,,,,,,
2025-01-13 04:46:19,0,11.83,,,,,,,,,
2025-01-13 04:46:20,0,11.83,,,,,,,,,
2025-01-13 04:46:21,0,11.83,,,,,,,,,
2025-01-13 04:46:22,0,11.83,,,,,0.3925,,,,11.7525
2025-01-13 04:46:23,0,11.83,,,,,,,,,
2025-01-13 04:46:24,0,11.83,,,,,,,,,
2025-01-13 04:46:25,0,11.83,,,,,,,,,
2025-01-13 04:46:26,0,11.83,,,,,,,,,
2025-01-13 04:46:27,0,11.83,,,,,,,,,
2025-01-13 04:46:28,0,11.83,,,,,,,,,
2025-01-13 04:46:29,0,11.83,,,,,,,,,
2025-01-13 04:46:30,0,11.83,,,,,,,,,
2025-01-13 04:46:31,0,11.83,,,,,,,,,
2025-01-13 04:46:32,0,11.83,,,,,,,,,
2025-01-13 04:46:33,0,11.83,,,,,,,,,
2025-01-13 04:46:34,0,11.83,,,,,,,,,
2025-01-13 04:46:35,0,11.83,,,,,,,,,
2025-01-13 04:46:36,0,11.83,,,,,,,,,
2025-01-13 04:46:37,0,11.83,,,,,,,,,
2025-01-13 04:46:39,0,11.83,,,,,,,,,
2025-01-13 04:46:40,0,11.83,,,,,,,,,
2025-01-13 04:46:41,0,11.83,,,,,,,,,
2025-01-13 04:46:42,0,11.83,,,,,,,,,
2025-01-13 04:46:43,0,11.83,,,,,,,,,
2025-01-13 04:46:44,0,11.83,,,,,,,,,
2025-01-13 04:46:45,0,11.83,,,,,,,,,
2025-01-13 04:46:46,0,11.83,,,,,,,,,
2025-01-13 04:46:47,0,11.83,,,,,,,,,
2025-01-13 04:46:48,0,11.83,,,,,,,,,
2025-01-13 04:46:49,0,11.83,,,,,,,,,
2025-01-13 04:46:50,0,11.83,,,,,,,,,
2025-01-13 04:46:51,0,11.83,,,,,,,,,
2025-01-13 04:46:52,0,11.83,,,,,,,,,
2025-01-13 04:46:53,0,11.83,,,,,,,,,
2025-01-13 04:46:54,0,11.83,,,,,,,,,
2025-01-13 04:46:55,0,11.83,,,,,,,,,
2025-01-13 04:46:56,0,11.83,,,,,,,,,
2025-01-13 04:46:57,0,11.83,,,,,,,,,
2025-01-13 04:46:58,0,11.83,,,,,,,,,
2025-01-13 04:46:59,0,11.83,,,,,,,,,
2025-01-13 04:47:00,0,11.83,,,,,,,,,
2025-01-13 04:47:01,0,11.83,,,,,,,,,
2025-01-13 04:47:02,0,11.83,,,,,,,,,
2025-01-13 04:47:03,0,11.83,,,,,,,,,
2025-01-13 04:47:04,0,11.83,,,,,,,,,
2025-01-13 04:47:05,0,11.83,,,,,,,,,
2025-01-13 04:47:06,0,11.83,,,,,,,,,
2025-01-13 04:47:07,0,11.83,,,,,,,,,
2025-01-13 04:47:08,0,11.83,,,,,,,,,
2025-01-13 04:47:09,0,11.83,,,,,,,,,
2025-01-13 04:47:10,0,11.83,,,,,,,,,
2025-01-13 04:47:11,0,11.83,,,,,,,,,
2025-01-13 04:47:12,0,11.83,,,,,,,,,
2025-01-13 04:47:13,0,11.83,,,,,,,,,
2025-01-13 04:47:14,0,11.83,,,,,,,,,
2025-01-13 04:47:15,0,11.83,,,,,,,,,
2025-01-13 04:47:16,0,11.83,,,,,,,,,
2025-01-13 04:47:17,0,11.83,,,,,,,,,
2025-01-13 04:47:18,0,11.83,,,,,,,,,
2025-01-13 04:47:19,0,11.83,,,,,,,,,
2025-01-13 04:47:20,0,11.83,,,,,,,,,
2025-01-13 04:47:22,0,11.83,,,,,,,,,
2025-01-13 04:47:23,0,11.83,,,,,,,,,
2025-01-13 04:47:24,0,11.83,,,,,,,,,
2025-01-13 04:47:25,0,11.83,,,,,,,,,
2025-01-13 04:47:26,0,11.83,,,,,,,,,
2025-01-13 04:47:27,0,11.83,,,,,,,,,
2025-01-13 04:47:28,0,11.83,,,,,,,,,
2025-01-13 04:47:29,0,11.83,,,,,,,,,
2025-01-13 04:47:30,0,11.83,,,,,,,,,
2025-01-13 04:47:31,0,11.83,,,,,,,,,
2025-01-13 04:47:32,0,11.83,,,,,,,,,
2025-01-13 04:47:33,0,11.83,,,,,,,,,
2025-01-13 04:47:34,0,11.83,,,,,,,,,
2025-01-13 04:47:35,0,11.83,,,,,,,,,
2025-01-13 04:47:36,0,11.83,,,,,,,,,
