Timestamp,CPU_Usage(%),Memory_Usage(MB),Bytes_Received(Bytes),Bytes_Sent(Bytes),,,,,
2025-01-13 07:14:57,0,8.21,,,,,,,
2025-01-13 07:14:58,6,12.07,,,,,,,
2025-01-13 07:14:59,3,12.07,,,,,,,
2025-01-13 07:15:00,2,12.07,,,,,,,
2025-01-13 07:15:01,1.5,12.07,,,,,,,
2025-01-13 07:15:02,1.2,12.07,,,,,,,
2025-01-13 07:15:03,1,12.07,,,,,,,
2025-01-13 07:15:04,0.8,12.07,,,,cpu,,,mem
2025-01-13 07:15:05,0.7,12.07,,,,0,,,8.21
2025-01-13 07:15:06,0.6,12.07,,,,6,,,12.07
2025-01-13 07:15:07,0.6,12.07,,,,3,,,12.07
2025-01-13 07:15:08,0.5,12.07,,,,2,,,12.07
2025-01-13 07:15:09,0.5,12.07,,,,1.5,,,12.07
2025-01-13 07:15:10,0.4,12.07,,,,1.2,,,12.07
2025-01-13 07:15:11,0.4,12.07,,,,1,,,12.07
2025-01-13 07:15:12,0.4,12.07,,,,0.8,,,12.07
2025-01-13 07:15:13,0.3,12.07,,,,0.7,,,12.07
2025-01-13 07:15:14,0.3,12.07,,,,0.6,,,12.07
2025-01-13 07:15:15,0.3,12.07,,,,0.6,,,12.07
2025-01-13 07:15:16,0.3,12.07,,,,0.5,,,12.07
2025-01-13 07:15:17,0.3,12.07,,,,0.5,,,12.07
2025-01-13 07:15:18,0.2,12.07,,,,0.4,,,12.07
2025-01-13 07:15:19,0.2,12.07,,,,0.4,,,12.07
2025-01-13 07:15:20,0.2,12.07,,,,0.4,,,12.07
2025-01-13 07:15:21,0.2,12.07,,,,0.3,,,12.07
2025-01-13 07:15:22,0.2,12.07,,,,0.3,,,12.07
2025-01-13 07:15:23,0.2,12.07,,,,0.3,,,12.07
2025-01-13 07:15:24,0.2,12.07,,,,0.3,,,12.07
2025-01-13 07:15:25,0.2,12.07,,,,0.3,,,12.07
2025-01-13 07:15:26,0.2,12.07,,,,0.2,,,12.07
2025-01-13 07:15:27,0.2,12.07,,,,0.2,,,12.07
2025-01-13 07:15:28,0.1,12.07,,,,0.2,,,12.07
2025-01-13 07:15:30,0.1,12.07,,,,0.2,,,12.07
2025-01-13 07:15:31,0.1,12.07,,,,0.2,,,12.07
2025-01-13 07:15:32,0.1,12.07,,,,0.2,,,12.07
2025-01-13 07:15:33,0.1,12.07,,,,0.2,,,12.07
2025-01-13 07:15:34,0.1,12.07,,,,0.2,,,12.07
2025-01-13 07:15:35,0.1,12.07,,,,0.2,,,12.07
2025-01-13 07:15:36,0.1,12.07,,,,0.2,,,12.07
2025-01-13 07:15:37,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:38,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:39,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:40,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:41,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:42,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:43,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:44,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:45,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:46,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:47,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:48,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:49,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:50,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:51,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:52,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:53,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:54,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:55,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:56,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:57,0.1,12.07,,,,0.1,,,12.07
2025-01-13 07:15:58,0,12.07,,,,0.1,,,12.07
2025-01-13 07:15:59,0,12.07,,,,0.1,,,12.07
2025-01-13 07:16:00,0,12.07,,,,0.1,,,12.07
2025-01-13 07:16:01,0,12.07,,,,0.1,,,12.07
2025-01-13 07:16:02,0,12.07,,,,0.1,,,12.07
2025-01-13 07:16:03,0,12.07,,,,0.1,,,12.07
2025-01-13 07:16:04,0,12.07,,,,0.1,,,12.07
2025-01-13 07:16:05,0,12.07,,,,0.1,,,12.07
2025-01-13 07:16:06,0,12.07,,,,26,,,720.34
2025-01-13 07:16:07,0,12.07,,,,,,,
2025-01-13 07:16:08,0,12.07,,,,,,,
2025-01-13 07:16:09,0,12.07,,,,,,,
2025-01-13 07:16:10,0,12.07,,,,0.433333333333333,,,12.0056666666667
2025-01-13 07:16:11,0,12.07,,,,,,,
2025-01-13 07:16:13,0,12.07,,,,,,,
2025-01-13 07:16:14,0,12.07,,,,,,,
2025-01-13 07:16:15,0,12.07,,,,,,,
2025-01-13 07:16:16,0,12.07,,,,,,,
2025-01-13 07:16:17,0,12.07,,,,,,,
2025-01-13 07:16:18,0,12.07,,,,,,,
2025-01-13 07:16:19,0,12.07,,,,,,,
2025-01-13 07:16:20,0,12.07,,,,,,,
2025-01-13 07:16:21,0,12.07,,,,,,,
2025-01-13 07:16:22,0,12.07,,,,,,,
2025-01-13 07:16:23,0,12.07,,,,,,,
2025-01-13 07:16:24,0,12.07,,,,,,,
2025-01-13 07:16:25,0,12.07,,,,,,,
2025-01-13 07:16:26,0,12.07,,,,,,,
2025-01-13 07:16:27,0,12.07,,,,,,,
2025-01-13 07:16:28,0,12.07,,,,,,,
2025-01-13 07:16:29,0,12.07,,,,,,,
2025-01-13 07:16:30,0,12.07,,,,,,,
2025-01-13 07:16:31,0,12.07,,,,,,,
2025-01-13 07:16:32,0,12.07,,,,,,,
2025-01-13 07:16:33,0,12.07,,,,,,,
2025-01-13 07:16:34,0,12.07,,,,,,,
2025-01-13 07:16:35,0,12.07,,,,,,,
2025-01-13 07:16:36,0,12.07,,,,,,,
2025-01-13 07:16:37,0,12.07,,,,,,,
2025-01-13 07:16:38,0,12.07,,,,,,,
2025-01-13 07:16:39,0,12.07,,,,,,,
2025-01-13 07:16:40,0,12.07,,,,,,,
2025-01-13 07:16:41,0,12.07,,,,,,,
2025-01-13 07:16:42,0,12.07,,,,,,,
2025-01-13 07:16:43,0,12.07,,,,,,,
2025-01-13 07:16:44,0,12.07,,,,,,,
2025-01-13 07:16:45,0,12.07,,,,,,,
2025-01-13 07:16:46,0,12.07,,,,,,,
2025-01-13 07:16:47,0,12.07,,,,,,,
2025-01-13 07:16:48,0,12.07,,,,,,,
2025-01-13 07:16:49,0,12.07,,,,,,,
2025-01-13 07:16:50,0,12.07,,,,,,,
2025-01-13 07:16:51,0,12.07,,,,,,,
2025-01-13 07:16:52,0,12.07,,,,,,,
2025-01-13 07:16:53,0,12.07,,,,,,,
2025-01-13 07:16:55,0,12.07,,,,,,,
2025-01-13 07:16:56,0,12.07,,,,,,,
2025-01-13 07:16:57,0,12.07,,,,,,,
2025-01-13 07:16:58,0,12.07,,,,,,,
2025-01-13 07:16:59,0,12.07,,,,,,,
2025-01-13 07:17:00,0,12.07,,,,,,,
2025-01-13 07:17:01,0,12.07,,,,,,,
2025-01-13 07:17:02,0,12.07,,,,,,,
2025-01-13 07:17:03,0,12.07,,,,,,,
2025-01-13 07:17:04,0,12.07,,,,,,,
2025-01-13 07:17:05,0,12.07,,,,,,,
2025-01-13 07:17:06,0,12.07,,,,,,,
2025-01-13 07:17:07,0,12.07,,,,,,,
2025-01-13 07:17:08,0,12.07,,,,,,,
2025-01-13 07:17:09,0,12.07,,,,,,,
2025-01-13 07:17:10,0,12.07,,,,,,,
2025-01-13 07:17:11,0,12.07,,,,,,,
2025-01-13 07:17:12,0,12.07,,,,,,,
2025-01-13 07:17:13,0,12.07,,,,,,,
2025-01-13 07:17:14,0,12.07,,,,,,,
2025-01-13 07:17:15,0,12.07,,,,,,,
2025-01-13 07:17:16,0,12.07,,,,,,,
2025-01-13 07:17:17,0,12.07,,,,,,,
2025-01-13 07:17:18,0,12.07,,,,,,,
2025-01-13 07:17:19,0,12.12,,,,,,,
2025-01-13 07:17:20,0,12.12,,,,,,,
2025-01-13 07:17:21,0,12.12,,,,,,,
2025-01-13 07:17:22,0,12.12,,,,,,,
2025-01-13 07:17:23,0,12.12,,,,,,,
2025-01-13 07:17:24,0,12.14,,,,,,,
2025-01-13 07:17:25,0,12.14,,,,,,,
2025-01-13 07:17:26,0,12.14,,,,,,,
2025-01-13 07:17:27,0,12.14,,,,,,,
2025-01-13 07:17:28,0,12.14,,,,,,,
2025-01-13 07:17:29,0,12.14,,,,,,,
2025-01-13 07:17:30,0,12.14,,,,,,,
2025-01-13 07:17:31,0,12.14,,,,,,,
2025-01-13 07:17:32,0,12.14,,,,,,,
2025-01-13 07:17:33,0,12.14,,,,,,,
2025-01-13 07:17:34,0,12.14,,,,,,,
2025-01-13 07:17:35,0,12.14,,,,,,,
2025-01-13 07:17:36,0,12.14,,,,,,,
2025-01-13 07:17:38,0,12.14,,,,,,,
2025-01-13 07:17:39,0,12.14,,,,,,,
2025-01-13 07:17:40,0,12.14,,,,,,,
2025-01-13 07:17:41,0,12.14,,,,,,,
2025-01-13 07:17:42,0,12.14,,,,,,,
2025-01-13 07:17:43,0,12.14,,,,,,,
2025-01-13 07:17:44,0,12.14,,,,,,,
2025-01-13 07:17:45,0,12.14,,,,,,,
2025-01-13 07:17:46,0,12.14,,,,,,,
2025-01-13 07:17:47,0,12.14,,,,,,,
2025-01-13 07:17:48,0,12.14,,,,,,,
2025-01-13 07:17:49,0,12.14,,,,,,,
