family,K,lam,final_mean,final_std,auc_mean,auc_std
mirai,20,1.5,884.0,296.2681218086077,305.1381027699657,167.39779483822102
mirai,20,2.0,884.0,296.2681218086077,309.3254305582324,172.20111887750164
mirai,20,2.5,884.0,296.2681218086077,309.27067999243695,172.1535891209273
mirai,20,3.0,884.0,296.2681218086077,311.91977006721334,175.20590277179568
mirai,20,5.0,884.0,296.2681218086077,311.95354161544054,175.24022426318336
mirai,20,10.0,884.0,296.2681218086077,315.04932436948576,178.87024328742424
mirai,20,15.0,884.0,296.2681218086077,314.98493716300163,178.75707955941928
mirai,20,20.0,884.0,296.2681218086077,315.13206542599846,178.91480241145132
mirai,30,0.5,887.4,298.09837302474494,179.55378002740298,96.4867282735771
mirai,30,1.0,887.4,298.09837302474494,284.23625822100524,144.61723669685148
mirai,30,1.5,887.4,298.09837302474494,307.4319123686586,169.86744850091915
mirai,30,2.0,887.4,298.09837302474494,309.93127955424467,172.70468775733258
mirai,30,2.5,887.4,298.09837302474494,312.3015474572878,175.49170956646284
mirai,30,3.0,887.4,298.09837302474494,312.5334686440307,175.71294649751684
mirai,30,5.0,887.4,298.09837302474494,315.6433194845881,179.37870837381192
mirai,30,10.0,887.4,298.09837302474494,315.6671456875837,179.37563981813787
mirai,30,15.0,887.4,298.09837302474494,315.6024037222488,179.26391342520716
mirai,30,20.0,887.4,298.09837302474494,315.75036672426484,179.42207163895134
mirai,40,0.5,893.4,296.0855281840029,169.06993644560595,86.47029293155468
mirai,40,1.0,893.4,296.0855281840029,282.6234215968685,139.30252029349802
mirai,40,1.5,893.4,296.0855281840029,311.83605261948264,171.11346921286048
mirai,40,2.0,893.4,296.0855281840029,314.76306961679484,174.46176112814132
mirai,40,2.5,893.4,296.0855281840029,314.71483412290934,174.42219727933977
mirai,40,3.0,893.4,296.0855281840029,314.9472130422486,174.64512113857998
mirai,40,5.0,893.4,296.0855281840029,318.06083825615394,178.30532615834835
mirai,40,10.0,893.4,296.0855281840029,318.08483546088394,178.30601682785334
mirai,40,15.0,893.4,296.0855281840029,318.0205723717387,178.1942034405347
mirai,40,20.0,893.4,296.0855281840029,318.1695469196312,178.35235609525228
gafgyt,0,0.5,120.2,23.12920232087566,36.666470148973325,15.145309917261892
gafgyt,0,1.0,120.2,23.12920232087566,36.666470148973325,15.145309917261892
gafgyt,0,1.5,120.2,23.12920232087566,36.666470148973325,15.145309917261892
gafgyt,0,2.0,120.2,23.12920232087566,36.666470148973325,15.145309917261892
gafgyt,0,2.5,120.2,23.12920232087566,36.666470148973325,15.145309917261892
gafgyt,0,3.0,120.2,23.12920232087566,36.666470148973325,15.145309917261892
gafgyt,0,5.0,120.2,23.12920232087566,36.666470148973325,15.145309917261892
gafgyt,0,10.0,120.2,23.12920232087566,36.666470148973325,15.145309917261892
gafgyt,0,15.0,120.2,23.12920232087566,36.666470148973325,15.145309917261892
gafgyt,0,20.0,120.2,23.12920232087566,36.666470148973325,15.145309917261892
gafgyt,1,0.5,130.6,24.12135982899803,39.01421105191683,13.432527666043084
