Timestamp,CPU_Usage(%),Memory_Usage(MB),,,,,,,,,
2025-01-13 07:09:36,152.6,280.1,,,,,,,,,
2025-01-13 07:09:38,153.51,283.8,,,,,,,,,
2025-01-13 07:09:41,146,285.1,,,,,,,,,
2025-01-13 07:09:44,152.04,286.3,,,,,,,,,
2025-01-13 07:09:46,146.04,286.1,,,,,,,,,
2025-01-13 07:09:49,156.23,286.6,,,,,,,,,
2025-01-13 07:09:51,149.47,288.6,,,,,,,,,
2025-01-13 07:09:54,153.36,287,,,,,,,,,
2025-01-13 07:09:56,152.15,287.3,,,,,,,,,
2025-01-13 07:09:59,153.28,288.1,,,,,,,,,
2025-01-13 07:10:01,145.74,287.1,,,,,,,,,
2025-01-13 07:10:04,155.07,288.7,,,,,,,,,
2025-01-13 07:10:07,145.24,287.8,,,,,,,,,
2025-01-13 07:10:09,157.95,289.1,,,,,,,,,
2025-01-13 07:10:12,152.15,289.8,,,,,,,,,
2025-01-13 07:10:14,155.3,290.2,,,,,,,,,
2025-01-13 07:10:17,153.79,294.5,,,,,,,,,
2025-01-13 07:10:19,154.32,295.6,,,,,,,,,
2025-01-13 07:10:22,154.02,295.7,,,,,,,,,
2025-01-13 07:10:24,155.16,298.5,,,,,,,,,
2025-01-13 07:10:27,153.01,298.5,,,,,,,,,
2025-01-13 07:10:30,161.01,299.8,,,,,,,,,
2025-01-13 07:10:32,156.2,299.9,,,,,,,,,
2025-01-13 07:10:35,153.9,302.2,,,,,,,,,
2025-01-13 07:10:37,23.07,12.17,,,,,,,,,
2025-01-13 07:10:40,46.75,14.45,,,,,,,,,
2025-01-13 07:10:42,0,,,,,,,,,,
2025-01-13 07:10:43,0,,,,,,,,,,
