Timestamp,CPU_Usage(%),Memory_Usage(MB),,,,,,,,,,,
2025-01-13 03:14:10,157.02,357.6,,,,,,,,,,,
2025-01-13 03:14:13,153.34,358.4,,,,,,,,,,,
2025-01-13 03:14:15,150.24,359.9,,,,,,,,,,,
2025-01-13 03:14:18,161.93,358.7,,,,,,,,,,,
2025-01-13 03:14:21,146.24,359.6,,,,,,,,,,,
2025-01-13 03:14:23,156.36,359.9,,,,,,,,,,,
2025-01-13 03:14:26,152.11,360.4,,,,,,,,,,,
2025-01-13 03:14:28,146.29,361,,,,,,,,,,,
2025-01-13 03:14:31,160.79,361.2,,,,,,,,,,,
2025-01-13 03:14:33,157.15,360.4,,,,,,,,,,,
2025-01-13 03:14:36,151.34,361.2,,,,,,,,,,,
2025-01-13 03:14:38,144.61,361.3,,,,,,,,,,,
2025-01-13 03:14:41,155.19,362.3,,,,,,,,,,,
2025-01-13 03:14:44,150.21,362.7,,,,,,,,,,,
2025-01-13 03:14:46,160.05,361.5,,,,,,,,,,,
2025-01-13 03:14:49,150.04,364.4,,,,,,,,,,,
2025-01-13 03:14:51,155.41,363.3,,,,,,,,,,,
2025-01-13 03:14:54,147.97,363.6,,,,,,,,,,,
2025-01-13 03:14:56,146.25,365,,,,,,,,,,,
2025-01-13 03:14:59,152.26,365.3,,,,,,,,,,,
2025-01-13 03:15:01,151.81,366.1,,,,,,,,,,,
2025-01-13 03:15:04,146.34,365.6,,,,,,,,,,,
2025-01-13 03:15:07,158.03,367,,,,,,,,,,,
2025-01-13 03:15:09,149.33,368.6,,,,,,,,,,,
2025-01-13 03:15:12,155.22,368.8,,,,,,,,,,,
2025-01-13 03:15:14,151.27,371.5,,,,,,,,,,,
2025-01-13 03:15:17,153.07,371.8,,,,,,,,,,,
2025-01-13 03:15:19,153.82,372.1,,,,,,,,,,,
2025-01-13 03:15:22,149.94,372.8,,,,,,,,,,,
2025-01-13 03:15:24,157.02,373.7,,,,,,,,,,,
2025-01-13 03:15:27,149.58,374,,,,,,,,,,,
2025-01-13 03:15:30,0,12.14,,,,,,,,,,,
2025-01-13 03:15:32,0,,,,,,,,,,,,
2025-01-13 03:15:34,0,,,,,,,,,,,,
2025-01-13 03:15:35,0,,,,,,,,,,,,
2025-01-13 03:15:36,0,,,,,,,,,,,,
2025-01-13 03:15:37,0,,,,,,,,,,,,
2025-01-13 03:15:38,0,,,,,,,,,,,,
2025-01-13 03:15:39,0,,,,,,,,,,,,
2025-01-13 03:15:41,0,,,,,,,,,,,,
2025-01-13 03:15:42,0,,,,,,,,,,,,
2025-01-13 03:15:43,0,,,,,,,,,,,,
2025-01-13 03:15:44,0,,,,,,,,,,,,
2025-01-13 03:15:45,0,,,,,,,,,,,,
2025-01-13 03:15:46,0,,,,,,,,,,,,
2025-01-13 03:15:47,0,,,,,,,,,,,,
2025-01-13 03:15:48,0,,,,,,,,,,,,
2025-01-13 03:15:49,0,,,,,,,,,,,,
2025-01-13 03:15:50,0,,,,,,,,,,,,
2025-01-13 03:15:51,0,,,,,,,,,,,,
2025-01-13 03:15:52,0,,,,,,,,,,,,
2025-01-13 03:15:53,0,,,,,,,,,,,,
2025-01-13 03:15:54,0,,,,,,,,,,,,
2025-01-13 03:15:55,0,,,,,,,,,,,,
2025-01-13 03:15:56,0,,,,,,,,,,,,
2025-01-13 03:15:57,0,,,,,,,,,,,,
2025-01-13 03:15:58,0,,,,,,,,,,,,
2025-01-13 03:15:59,0,,,,,,,,,,,,
2025-01-13 03:16:00,0,,,,,,,,,,,,
2025-01-13 03:16:02,0,,,,,,,,,,,,
2025-01-13 03:16:03,0,,,,,,,,,,,,
2025-01-13 03:16:04,0,,,,,,,,,,,,
2025-01-13 03:16:05,0,,,,,,,,,,,,
2025-01-13 03:16:06,0,,,,,,,,,,,,
2025-01-13 03:16:07,0,,,,,,,,,,,,
2025-01-13 03:16:08,0,,,,,,,,,,,,
2025-01-13 03:16:09,0,,,,,,,,,,,,
2025-01-13 03:16:10,0,,,,,,,,,,,,
2025-01-13 03:16:11,0,,,,,,,,,,,,
2025-01-13 03:16:12,0,,,,,,,,,,,,
2025-01-13 03:16:13,0,,,,,,,,,,,,
2025-01-13 03:16:14,0,,,,,,,,,,,,
2025-01-13 03:16:15,0,,,,,,,,,,,,
2025-01-13 03:16:16,0,,,,,,,,,,,,
2025-01-13 03:16:17,0,,,,,,,,,,,,
2025-01-13 03:16:18,0,,,,,,,,,,,,
2025-01-13 03:16:19,0,,,,,,,,,,,,
2025-01-13 03:16:20,0,,,,,,,,,,,,
2025-01-13 03:16:22,0,,,,,,,,,,,,
2025-01-13 03:16:23,0,,,,,,,,,,,,
2025-01-13 03:16:24,0,,,,,,,,,,,,
2025-01-13 03:16:25,0,,,,,,,,,,,,
2025-01-13 03:16:26,0,,,,,,,,,,,,
2025-01-13 03:16:27,0,,,,,,,,,,,,
2025-01-13 03:16:28,0,,,,,,,,,,,,
2025-01-13 03:16:29,0,,,,,,,,,,,,
2025-01-13 03:16:30,0,,,,,,,,,,,,
2025-01-13 03:16:31,0,,,,,,,,,,,,
2025-01-13 03:16:32,0,,,,,,,,,,,,
2025-01-13 03:16:33,0,,,,,,,,,,,,
2025-01-13 03:16:34,0,,,,,,,,,,,,
2025-01-13 03:16:35,0,,,,,,,,,,,,
2025-01-13 03:16:36,0,,,,,,,,,,,,
2025-01-13 03:16:37,0,,,,,,,,,,,,
2025-01-13 03:16:38,0,,,,,,,,,,,,
2025-01-13 03:16:39,0,,,,,,,,,,,,
2025-01-13 03:16:40,0,,,,,,,,,,,,
2025-01-13 03:16:41,0,,,,,,,,,,,,
